2020-03-12,2
2020-03-13,2
2020-03-14,5
2020-03-15,11
2020-03-16,12
2020-03-17,23
2020-03-18,36
2020-03-19,43
2020-03-20,61
2020-03-21,88
2020-03-22,123
2020-03-23,127
2020-03-24,146
2020-03-25,152
2020-03-26,171
2020-03-27,187
2020-03-28,195
2020-03-29,205
2020-03-30,217
2020-03-31,226
2020-04-01,240
2020-04-02,253
2020-04-03,267
2020-04-04,293
2020-04-05,305
2020-04-06,319
2020-04-07,333
2020-04-08,342
2020-04-09,379
2020-04-10,426
2020-04-11,446
2020-04-12,478
2020-04-13,499
2020-04-14,535
2020-04-15,548
2020-04-16,581
2020-04-17,619
2020-04-18,648
2020-04-19,682
2020-04-20,687
2020-04-21,704
2020-04-22,737
2020-04-23,758
2020-04-24,805
2020-04-25,899
2020-04-26,948
2020-04-27,979
2020-04-28,1009
2020-04-29,1067
2020-04-30,1165
2020-05-01,1204
2020-05-02,1238
2020-05-03,1258
2020-05-04,1287
2020-05-05,1294
2020-05-06,1321
2020-05-07,1348
2020-05-08,1384
2020-05-09,1416
2020-05-10,1432
2020-05-11,1456
2020-05-12,1479
2020-05-13,1494
2020-05-14,1509
2020-05-15,1538
2020-05-16,1572
2020-05-17,1579
2020-05-18,1610
2020-05-19,1655
2020-05-20,1682
2020-05-21,1700
2020-05-22,1756
2020-05-23,1770
2020-05-24,1782
2020-05-25,1791
2020-05-26,1793
2020-05-27,1796
2020-05-28,1814
2020-05-29,1834
2020-05-30,1843
2020-05-31,1860
2020-06-01,1882
2020-06-02,1900
2020-06-03,1920
2020-06-04,1930
2020-06-05,1941
2020-06-06,1953
2020-06-07,1961
2020-06-08,1978
2020-06-09,1983
2020-06-10,1986
2020-06-11,1996
2020-06-12,2007
2020-06-13,2016
2020-06-14,2020
2020-06-15,2022
2020-06-16,2026
2020-06-17,2029
