2020-03-12,1
2020-03-13,3
2020-03-14,4
2020-03-15,7
2020-03-16,10
2020-03-17,16
2020-03-18,20
2020-03-19,31
2020-03-20,36
2020-03-21,49
2020-03-22,82
2020-03-23,100
2020-03-24,124
2020-03-25,153
2020-03-26,190
2020-03-27,225
2020-03-28,262
2020-03-29,320
2020-03-30,392
2020-03-31,484
2020-04-01,547
2020-04-02,667
2020-04-03,809
2020-04-04,938
2020-04-05,1077
2020-04-06,1189
2020-04-07,1249
2020-04-08,1395
2020-04-09,1493
2020-04-10,1598
2020-04-11,1744
2020-04-12,1838
2020-04-13,1881
2020-04-14,1934
2020-04-15,2048
2020-04-16,2085
2020-04-17,2142
2020-04-18,2201
2020-04-19,2240
2020-04-20,2284
2020-04-21,2331
2020-04-22,2391
2020-04-23,2460
2020-04-24,2517
2020-04-25,2660
2020-04-26,2729
2020-04-27,2793
2020-04-28,2817
2020-04-29,2881
2020-04-30,2954
2020-05-01,3002
2020-05-02,3049
2020-05-03,3086
2020-05-04,3131
2020-05-05,3151
2020-05-06,3192
2020-05-07,3233
2020-05-08,3277
2020-05-09,3319
2020-05-10,3359
2020-05-11,3378
2020-05-12,3399
2020-05-13,3429
2020-05-14,3474
2020-05-15,3498
2020-05-16,3527
2020-05-17,3543
2020-05-18,3552
2020-05-19,3710
2020-05-20,3724
2020-05-21,3745
2020-05-22,3767
2020-05-23,3793
2020-05-24,3807
2020-05-25,3825
2020-05-26,3834
2020-05-27,3847
2020-05-28,3867
2020-05-29,3887
2020-05-30,3899
2020-05-31,3909
2020-06-01,3924
2020-06-02,3936
2020-06-03,3951
2020-06-04,3962
2020-06-05,3984
2020-06-06,3995
2020-06-07,4000
2020-06-08,4006
2020-06-09,4016
2020-06-10,4022
2020-06-11,4027
2020-06-12,4035
2020-06-13,4049
2020-06-14,4056
2020-06-15,4068
2020-06-16,4075
2020-06-17,4077
