2020-03-10,5
2020-03-11,11
2020-03-12,12
2020-03-13,28
2020-03-14,53
2020-03-15,75
2020-03-16,95
2020-03-17,136
2020-03-18,196
2020-03-19,252
2020-03-20,329
2020-03-21,418
2020-03-22,451
2020-03-23,567
2020-03-24,675
2020-03-25,827
2020-03-26,997
2020-03-27,1170
2020-03-28,1298
2020-03-29,1350
2020-03-30,1480
2020-03-31,1834
2020-04-01,2270
2020-04-02,3148
2020-04-03,3476
2020-04-04,3966
2020-04-05,4066
2020-04-06,4565
2020-04-07,4942
2020-04-08,5070
2020-04-09,5242
2020-04-10,5416
2020-04-11,5535
2020-04-12,5600
2020-04-13,5651
2020-04-14,5718
2020-04-15,5769
2020-04-16,5847
2020-04-17,5906
2020-04-18,5953
2020-04-19,6000
2020-04-20,6148
2020-04-21,6169
2020-04-22,6209
2020-04-23,6263
2020-04-24,6286
2020-04-25,6297
2020-04-26,6342
2020-04-27,6365
2020-04-28,6380
2020-04-29,6420
2020-04-30,6452
2020-05-01,6495
2020-05-02,6524
2020-05-03,6538
2020-05-04,6557
2020-05-05,6575
2020-05-06,6608
2020-05-07,6626
2020-05-08,6645
2020-05-09,6674
2020-05-10,6682
2020-05-11,6693
2020-05-12,6718
2020-05-13,6753
2020-05-14,6768
2020-05-15,6787
2020-05-16,6781
2020-05-17,6809
2020-05-18,6822
2020-05-19,6869
2020-05-20,6884
2020-05-21,6904
2020-05-22,6944
2020-05-23,6949
2020-05-24,6953
2020-05-25,7005
2020-05-26,7021
2020-05-27,7045
2020-05-28,7067
2020-05-29,7067
2020-05-30,7108
2020-05-31,7127
2020-06-01,7141
2020-06-02,7156
2020-06-03,7174
2020-06-04,7192
2020-06-05,7206
2020-06-06,7222
2020-06-07,7230
2020-06-08,7237
2020-06-09,7247
2020-06-10,7279
2020-06-11,7294
2020-06-12,7319
2020-06-13,7374
2020-06-14,7393
2020-06-15,7411
2020-06-16,7428
2020-06-17,7459
