2020-01-25,1
2020-01-26,1
2020-01-27,1
2020-01-28,1
2020-01-29,1
2020-01-30,1
2020-01-31,1
2020-02-01,1
2020-02-02,1
2020-02-03,1
2020-02-04,1
2020-02-05,1
2020-02-06,1
2020-02-07,1
2020-02-08,1
2020-02-09,1
2020-02-10,1
2020-02-11,1
2020-02-12,1
2020-02-13,1
2020-02-14,1
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,1
2020-02-23,1
2020-02-24,1
2020-02-25,1
2020-02-26,1
2020-02-27,1
2020-02-28,1
2020-02-29,1
2020-03-01,1
2020-03-02,1
2020-03-03,3
2020-03-04,3
2020-03-05,3
2020-03-06,3
2020-03-07,3
2020-03-08,3
2020-03-09,5
2020-03-10,5
2020-03-11,6
2020-03-12,6
2020-03-13,13
2020-03-14,14
2020-03-15,17
2020-03-16,22
2020-03-17,29
2020-03-18,42
2020-03-19,53
2020-03-20,65
2020-03-21,78
2020-03-22,95
2020-03-23,125
2020-03-24,152
2020-03-25,187
2020-03-26,256
2020-03-27,321
2020-03-28,321
2020-03-29,431
2020-03-30,464
2020-03-31,502
2020-04-01,606
2020-04-02,656
2020-04-03,711
2020-04-04,786
2020-04-05,834
2020-04-06,882
2020-04-07,931
2020-04-08,1016
2020-04-09,1079
2020-04-10,1138
2020-04-11,1221
2020-04-12,1277
2020-04-13,1283
2020-04-14,1299
2020-04-15,1376
2020-04-16,1425
2020-04-17,1501
2020-04-18,1556
2020-04-19,1636
2020-04-20,1676
2020-04-21,1691
2020-04-22,1753
2020-04-23,1827
2020-04-24,1845
2020-04-25,1969
2020-04-26,2074
2020-04-27,2126
2020-04-28,2198
2020-04-29,2324
2020-04-30,2421
2020-05-01,2591
2020-05-02,2660
2020-05-03,2774
2020-05-04,2859
2020-05-05,2931
2020-05-06,3041
2020-05-07,3156
2020-05-08,3283
2020-05-09,3395
2020-05-10,3506
2020-05-11,3627
2020-05-12,3699
2020-05-13,3843
2020-05-14,4025
2020-05-15,4163
2020-05-16,4281
2020-05-17,4396
2020-05-18,4466
2020-05-19,4558
2020-05-20,4746
2020-05-21,4866
2020-05-22,4975
2020-05-23,5157
2020-05-24,5336
2020-05-25,5469
2020-05-26,5601
2020-05-27,5651
2020-05-28,5849
2020-05-29,6045
2020-05-30,6176
2020-05-31,6354
2020-06-01,6532
2020-06-02,6640
2020-06-03,6790
2020-06-04,6939
2020-06-05,7192
2020-06-06,7391
2020-06-07,7576
2020-06-08,7643
2020-06-09,7786
2020-06-10,7991
2020-06-11,8222
2020-06-12,8304
2020-06-13,8440
2020-06-14,8581
2020-06-15,8759
2020-06-16,8999
2020-06-17,9197
