2020-03-04,1
2020-03-05,2
2020-03-06,3
2020-03-07,3
2020-03-08,4
2020-03-09,5
2020-03-10,7
2020-03-11,11
2020-03-12,13
2020-03-13,17
2020-03-14,31
2020-03-15,32
2020-03-16,61
2020-03-17,84
2020-03-18,133
2020-03-19,297
2020-03-20,342
2020-03-21,362
2020-03-22,457
2020-03-23,609
2020-03-24,701
2020-03-25,819
2020-03-26,1206
2020-03-27,1505
2020-03-28,1838
2020-03-29,2169
2020-03-30,2482
2020-03-31,2909
2020-04-01,3494
2020-04-02,4099
2020-04-03,4866
2020-04-04,5760
2020-04-05,6187
2020-04-06,6862
2020-04-07,7533
2020-04-08,7874
2020-04-09,8343
2020-04-10,8928
2020-04-11,9362
2020-04-12,9784
2020-04-13,10092
2020-04-14,10426
2020-04-15,10848
2020-04-16,11409
2020-04-17,11863
2020-04-18,12163
2020-04-19,12639
2020-04-20,13011
2020-04-21,13356
2020-04-22,13686
2020-04-23,14049
2020-04-24,14363
2020-04-25,14738
2020-04-26,14965
2020-04-27,15104
2020-04-28,15251
2020-04-29,15446
2020-04-30,15610
2020-05-01,15830
2020-05-02,15974
2020-05-03,16185
2020-05-04,16282
2020-05-05,16460
2020-05-06,16520
2020-05-07,16609
2020-05-08,16709
2020-05-09,16804
2020-05-10,16929
2020-05-11,17028
2020-05-12,17091
2020-05-13,17150
2020-05-14,17080
2020-05-15,17195
2020-05-16,17246
2020-05-17,17361
2020-05-18,17459
2020-05-19,17522
2020-05-20,17518
2020-05-21,17583
2020-05-22,17653
2020-05-23,17668
2020-05-24,17804
2020-05-25,17901
2020-05-26,17963
2020-05-27,18023
2020-05-28,18158
2020-05-29,18223
2020-05-30,18211
2020-05-31,18272
2020-06-01,18302
2020-06-02,18333
2020-06-03,18376
2020-06-04,18408
2020-06-05,18463
2020-06-06,18492
2020-06-07,18512
2020-06-08,18538
2020-06-09,18573
2020-06-10,18667
2020-06-11,18719
2020-06-12,18743
2020-06-13,18805
2020-06-14,18818
2020-06-15,18848
2020-06-16,18901
2020-06-17,18928
