2020-03-16,4
2020-03-17,6
2020-03-18,15
2020-03-19,20
2020-03-20,27
2020-03-21,34
2020-03-22,51
2020-03-23,67
2020-03-24,102
2020-03-25,117
2020-03-26,179
2020-03-27,222
2020-03-28,258
2020-03-29,295
2020-03-30,349
2020-03-31,413
2020-04-01,472
2020-04-02,549
2020-04-03,641
2020-04-04,765
2020-04-05,833
2020-04-06,902
2020-04-07,1033
2020-04-08,1189
2020-04-09,1335
2020-04-10,1523
2020-04-11,1642
2020-04-12,1732
2020-04-13,1809
2020-04-14,1911
2020-04-15,2001
2020-04-16,2103
2020-04-17,2195
2020-04-18,2283
2020-04-19,2384
2020-04-20,2488
2020-04-21,2599
2020-04-22,2688
2020-04-23,2798
2020-04-24,2921
2020-04-25,3030
2020-04-26,3144
2020-04-27,3204
2020-04-28,3278
2020-04-29,3372
2020-04-30,3464
2020-05-01,3537
2020-05-02,3605
2020-05-03,3703
2020-05-04,3753
2020-05-05,3820
2020-05-06,3860
2020-05-07,3914
2020-05-08,3968
2020-05-09,3996
2020-05-10,4054
2020-05-11,4093
2020-05-12,4115
2020-05-13,4127
2020-05-14,4159
2020-05-15,4181
2020-05-16,4212
2020-05-17,4255
2020-05-18,4278
2020-05-19,4312
2020-05-20,4349
2020-05-21,4390
2020-05-22,4416
2020-05-23,4425
2020-05-24,4450
2020-05-25,4480
2020-05-26,4489
2020-05-27,4505
2020-05-28,4522
2020-05-29,4552
2020-05-30,4567
2020-05-31,4583
2020-06-01,4595
2020-06-02,4605
2020-06-03,4619
2020-06-04,4626
2020-06-05,4651
2020-06-06,4664
2020-06-07,4662
2020-06-08,4670
2020-06-09,4679
2020-06-10,4698
2020-06-11,4721
2020-06-12,4736
2020-06-13,4756
2020-06-14,4759
2020-06-15,4764
2020-06-16,4767
2020-06-17,4780
