2020-03-06,1
2020-03-07,1
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-03-12,1
2020-03-13,2
2020-03-14,2
2020-03-15,2
2020-03-16,3
2020-03-17,3
2020-03-18,10
2020-03-19,11
2020-03-20,15
2020-03-21,15
2020-03-22,22
2020-03-23,33
2020-03-24,51
2020-03-25,61
2020-03-26,73
2020-03-27,95
2020-03-28,123
2020-03-29,163
2020-03-30,200
2020-03-31,228
2020-04-01,289
2020-04-02,343
2020-04-03,406
2020-04-04,481
2020-04-05,556
2020-04-06,645
2020-04-07,736
2020-04-08,838
2020-04-09,990
2020-04-10,1072
2020-04-11,1180
2020-04-12,1270
2020-04-13,1401
2020-04-14,1477
2020-04-15,1587
2020-04-16,1734
2020-04-17,1807
2020-04-18,1918
2020-04-19,2131
2020-04-20,2255
2020-04-21,2379
2020-04-22,2528
2020-04-23,2683
2020-04-24,2750
2020-04-25,2870
2020-04-26,2983
2020-04-27,3124
2020-04-28,3285
2020-04-29,3385
2020-04-30,3519
2020-05-01,3646
2020-05-02,3773
2020-05-03,3973
2020-05-04,4073
2020-05-05,4251
2020-05-06,4307
2020-05-07,4479
2020-05-08,4619
2020-05-09,4758
2020-05-10,4870
2020-05-11,4959
2020-05-12,5043
2020-05-13,5099
2020-05-14,5172
2020-05-15,5255
2020-05-16,5381
2020-05-17,5455
2020-05-18,5573
2020-05-19,5644
2020-05-20,5738
2020-05-21,5818
2020-05-22,5923
2020-05-23,5953
2020-05-24,6024
2020-05-25,6103
2020-05-26,6171
2020-05-27,6227
2020-05-28,6292
2020-05-29,6350
2020-05-30,6425
2020-05-31,6510
2020-06-01,6543
2020-06-02,6603
2020-06-03,6645
2020-06-04,6663
2020-06-05,6732
2020-06-06,6785
2020-06-07,6799
2020-06-08,6827
2020-06-09,6849
2020-06-10,6903
2020-06-11,6938
2020-06-12,6952
2020-06-13,6986
2020-06-14,7018
2020-06-15,7025
2020-06-16,7040
2020-06-17,7047
