2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-03-12,1
2020-03-13,1
2020-03-14,1
2020-03-15,4
2020-03-16,8
2020-03-17,22
2020-03-18,26
2020-03-19,29
2020-03-20,43
2020-03-21,81
2020-03-22,124
2020-03-23,189
2020-03-24,246
2020-03-25,262
2020-03-26,432
2020-03-27,519
2020-03-28,742
2020-03-29,896
2020-03-30,1213
2020-03-31,1418
2020-04-01,1661
2020-04-02,2010
2020-04-03,2487
2020-04-04,2916
2020-04-05,3216
2020-04-06,3685
2020-04-07,4358
2020-04-08,4831
2020-04-09,5203
2020-04-10,5575
2020-04-11,5865
2020-04-12,6180
2020-04-13,6636
2020-04-14,7265
2020-04-15,7438
2020-04-16,7904
2020-04-17,8429
2020-04-18,8959
2020-04-19,9609
2020-04-20,9972
2020-04-21,10289
2020-04-22,10484
2020-04-23,10935
2020-04-24,11208
2020-04-25,11523
2020-04-26,11853
2020-04-27,12011
2020-04-28,12188
2020-04-29,12380
2020-04-30,12578
2020-05-01,12779
2020-05-02,12996
2020-05-03,13225
2020-05-04,13357
2020-05-05,13503
2020-05-06,13604
2020-05-07,13781
2020-05-08,13917
2020-05-09,13984
2020-05-10,14057
2020-05-11,14164
2020-05-12,14203
2020-05-13,14306
2020-05-14,14385
2020-05-15,14492
2020-05-16,14569
2020-05-17,14702
2020-05-18,14903
2020-05-19,15031
2020-05-20,15122
2020-05-21,15176
2020-05-22,15191
2020-05-23,15186
2020-05-24,15169
2020-05-25,15218
2020-05-26,15293
2020-05-27,15324
2020-05-28,15475
2020-05-29,15610
2020-05-30,15764
2020-05-31,15821
2020-06-01,15858
2020-06-02,15868
2020-06-03,15911
2020-06-04,15953
2020-06-05,16038
2020-06-06,16116
2020-06-07,16186
2020-06-08,16241
2020-06-09,16302
2020-06-10,16317
2020-06-11,16337
2020-06-12,16351
2020-06-13,16337
2020-06-14,16322
2020-06-15,16308
2020-06-16,16320
2020-06-17,16315
