2020-03-14,1
2020-03-15,1
2020-03-16,2
2020-03-17,5
2020-03-18,5
2020-03-19,6
2020-03-20,6
2020-03-21,14
2020-03-22,24
2020-03-23,25
2020-03-24,31
2020-03-25,67
2020-03-26,90
2020-03-27,129
2020-03-28,179
2020-03-29,208
2020-03-30,263
2020-03-31,306
2020-04-01,366
2020-04-02,424
2020-04-03,517
2020-04-04,601
2020-04-05,659
2020-04-06,722
2020-04-07,768
2020-04-08,835
2020-04-09,994
2020-04-10,1086
2020-04-11,1191
2020-04-12,1327
2020-04-13,1394
2020-04-14,1435
2020-04-15,1508
2020-04-16,1605
2020-04-17,1659
2020-04-18,1698
2020-04-19,1731
2020-04-20,1779
2020-04-21,1852
2020-04-22,1908
2020-04-23,2181
2020-04-24,2697
2020-04-25,2829
2020-04-26,2923
2020-04-27,3068
2020-04-28,3270
2020-04-29,3429
2020-04-30,3580
2020-05-01,3792
2020-05-02,3916
2020-05-03,4019
2020-05-04,4103
2020-05-05,4235
2020-05-06,4380
2020-05-07,4529
2020-05-08,4670
2020-05-09,4847
2020-05-10,4931
2020-05-11,4999
2020-05-12,5125
2020-05-13,5249
2020-05-14,5440
2020-05-15,5590
2020-05-16,5748
2020-05-17,5870
2020-05-18,5996
2020-05-19,6080
2020-05-20,6165
2020-05-21,6286
2020-05-22,6362
2020-05-23,6426
2020-05-24,6596
2020-05-25,6681
2020-05-26,6733
2020-05-27,6779
2020-05-28,6852
2020-05-29,6930
2020-05-30,7089
2020-05-31,7159
2020-06-01,7348
2020-06-02,7380
2020-06-03,7453
2020-06-04,7508
2020-06-05,7573
2020-06-06,7635
2020-06-07,7683
2020-06-08,7698
2020-06-09,7728
2020-06-10,7754
2020-06-11,7793
2020-06-12,7872
2020-06-13,7906
2020-06-14,7933
2020-06-15,7925
2020-06-16,7940
2020-06-17,7956
