2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-06,3
2020-03-07,3
2020-03-08,7
2020-03-09,10
2020-03-10,22
2020-03-11,22
2020-03-12,24
2020-03-13,24
2020-03-14,28
2020-03-15,31
2020-03-16,36
2020-03-17,43
2020-03-18,45
2020-03-19,52
2020-03-20,64
2020-03-21,69
2020-03-22,75
2020-03-23,82
2020-03-24,129
2020-03-25,222
2020-03-26,292
2020-03-27,393
2020-03-28,490
2020-03-29,548
2020-03-30,628
2020-03-31,738
2020-04-01,829
2020-04-02,938
2020-04-03,1045
2020-04-04,1199
2020-04-05,1271
2020-04-06,1382
2020-04-07,1592
2020-04-08,1778
2020-04-09,2007
2020-04-10,2216
2020-04-11,2395
2020-04-12,2649
2020-04-13,2838
2020-04-14,2969
2020-04-15,3122
2020-04-16,3342
2020-04-17,3499
2020-04-18,3659
2020-04-19,3789
2020-04-20,3960
2020-04-21,4062
2020-04-22,4212
2020-04-23,4541
2020-04-24,4979
2020-04-25,5172
2020-04-26,5288
2020-04-27,5398
2020-04-28,5567
2020-04-29,5700
2020-04-30,5896
2020-05-01,6065
2020-05-02,6187
2020-05-03,6280
2020-05-04,6382
2020-05-05,6466
2020-05-06,6610
2020-05-07,6729
2020-05-08,6801
2020-05-09,6887
2020-05-10,6952
2020-05-11,7004
2020-05-12,7046
2020-05-13,7129
2020-05-14,7258
2020-05-15,7331
2020-05-16,7412
2020-05-17,7474
2020-05-18,7524
2020-05-19,7565
2020-05-20,7607
2020-05-21,7691
2020-05-22,7724
2020-05-23,7759
2020-05-24,7812
2020-05-25,7844
2020-05-26,7863
2020-05-27,7880
2020-05-28,7919
2020-05-29,7959
2020-05-30,8016
2020-05-31,8079
2020-06-01,8586
2020-06-02,8600
2020-06-03,8613
2020-06-04,8625
2020-06-05,8646
2020-06-06,8689
2020-06-07,8713
2020-06-08,8715
2020-06-09,8753
2020-06-10,8774
2020-06-11,8809
2020-06-12,8842
2020-06-13,8860
2020-06-14,8866
2020-06-15,8872
2020-06-16,8892
2020-06-17,8908
