2020-03-14,1
2020-03-15,3
2020-03-16,5
2020-03-17,10
2020-03-18,12
2020-03-19,18
2020-03-20,28
2020-03-21,31
2020-03-22,40
2020-03-23,48
2020-03-24,58
2020-03-25,88
2020-03-26,133
2020-03-27,158
2020-03-28,219
2020-03-29,265
2020-03-30,290
2020-03-31,325
2020-04-01,356
2020-04-02,419
2020-04-03,476
2020-04-04,552
2020-04-05,605
2020-04-06,642
2020-04-07,689
2020-04-08,720
2020-04-09,759
2020-04-10,788
2020-04-11,836
2020-04-12,857
2020-04-13,876
2020-04-14,893
2020-04-15,904
2020-04-16,925
2020-04-17,947
2020-04-18,1009
2020-04-19,1035
2020-04-20,1042
2020-04-21,1059
2020-04-22,1088
2020-04-23,1149
2020-04-24,1177
2020-04-25,1198
2020-04-26,1211
2020-04-27,1224
2020-04-28,1235
2020-04-29,1273
2020-04-30,1289
2020-05-01,1319
2020-05-02,1333
2020-05-03,1345
2020-05-04,1365
2020-05-05,1375
2020-05-06,1394
2020-05-07,1439
2020-05-08,1455
2020-05-09,1486
2020-05-10,1503
2020-05-11,1511
2020-05-12,1526
2020-05-13,1545
2020-05-14,1551
2020-05-15,1582
2020-05-16,1595
2020-05-17,1603
2020-05-18,1641
2020-05-19,1658
2020-05-20,1687
2020-05-21,1718
2020-05-22,1739
2020-05-23,1753
2020-05-24,1777
2020-05-25,1805
2020-05-26,1816
2020-05-27,1828
2020-05-28,1851
2020-05-29,1870
2020-05-30,1897
2020-05-31,1911
2020-06-01,1919
2020-06-02,1928
2020-06-03,1952
2020-06-04,1965
2020-06-05,1973
2020-06-06,1989
2020-06-07,2003
2020-06-08,2008
2020-06-09,2027
2020-06-10,2034
2020-06-11,2055
2020-06-12,2065
2020-06-13,2076
2020-06-14,2079
2020-06-15,2086
2020-06-16,2113
2020-06-17,2113
