2020-03-14,1
2020-03-15,3
2020-03-16,4
2020-03-17,7
2020-03-18,11
2020-03-19,18
2020-03-20,29
2020-03-21,35
2020-03-22,54
2020-03-23,61
2020-03-24,88
2020-03-25,116
2020-03-26,138
2020-03-27,189
2020-03-28,228
2020-03-29,276
2020-03-30,330
2020-03-31,393
2020-04-01,469
2020-04-02,539
2020-04-03,679
2020-04-04,726
2020-04-05,751
2020-04-06,882
2020-04-07,1045
2020-04-08,1290
2020-04-09,1471
2020-04-10,1615
2020-04-11,1832
2020-04-12,1914
2020-04-13,2243
2020-04-14,2370
2020-04-15,2570
2020-04-16,2859
2020-04-17,3015
2020-04-18,3196
2020-04-19,3351
2020-04-20,3823
2020-04-21,3951
2020-04-22,4128
2020-04-23,4303
2020-04-24,4570
2020-04-25,4761
2020-04-26,4989
2020-04-27,5157
2020-04-28,5224
2020-04-29,5388
2020-04-30,5601
2020-05-01,5931
2020-05-02,6112
2020-05-03,6112
2020-05-04,6173
2020-05-05,6351
2020-05-06,6530
2020-05-07,6750
2020-05-08,6904
2020-05-09,7105
2020-05-10,7263
2020-05-11,7358
2020-05-12,7528
2020-05-13,7732
2020-05-14,7935
2020-05-15,8126
2020-05-16,8299
2020-05-17,8723
2020-05-18,8957
2020-05-19,9050
2020-05-20,9234
2020-05-21,9299
2020-05-22,9463
2020-05-23,9545
2020-05-24,9686
2020-05-25,9841
2020-05-26,9917
2020-05-27,9962
2020-05-28,10078
2020-05-29,10146
2020-05-30,10207
2020-05-31,10296
2020-06-01,10445
2020-06-02,10536
2020-06-03,10593
2020-06-04,10636
2020-06-05,10677
2020-06-06,10747
2020-06-07,10809
2020-06-08,10844
2020-06-09,10859
2020-06-10,10924
2020-06-11,10967
2020-06-12,11103
2020-06-13,11189
2020-06-14,11218
2020-06-15,11231
2020-06-16,11261
2020-06-17,11284
